Currency,FX Score,Lower Level,Upper Level,SR Filter,Current Price,Total Distance UL,% Away Lower,% Away Upper,Current State
USDCAD,-6,1.2267299890518188,1.239230036735535,BUY WATCHLIST,1.2294,0.012500047683716042,0.2136000610349235,0.7863999389650765,BUY WATCHLIST
EURCAD,-4,1.48294997215271,1.492609977722168,BUY WATCHLIST,1.47778,0.009660005569458008,-0.5351934960633711,1.535193496063371,NEUTRAL
AUDCAD,-4,0.9490100145339966,0.9555799961090088,BUY WATCHLIST,0.94716,0.006569981575012207,-0.2815859546749403,1.2815859546749402,NEUTRAL
EURCHF,-6,1.0974500179290771,1.1014599800109863,BUY WATCHLIST,1.09718,0.00400996208190918,-0.06733677864319014,1.0673367786431902,NEUTRAL
GBPCHF,-4,1.2624200582504272,1.269320011138916,BUY WATCHLIST,1.2609,0.0068999528884887695,-0.22029980131650725,1.2202998013165072,NEUTRAL
USDCHF,2,0.9079599976539612,0.919539988040924,SELL WATCHLIST,0.9129,0.01157999038696278,0.42659813876879527,0.5734018612312047,NEUTRAL
AUDCHF,-4,0.7015100121498108,0.7067800164222717,BUY WATCHLIST,0.7033,0.0052700042724609375,0.33965586319218927,0.6603441368078107,BUY WATCHLIST
AUDJPY,-2,84.18199920654297,85.0009994506836,BUY WATCHLIST,84.309,0.819000244140625,0.15506807765398212,0.8449319223460179,BUY WATCHLIST
AUDNZD,4,1.0764600038528442,1.0824799537658691,BUY WATCHLIST,1.07679,0.006019949913024902,0.05481709182358616,0.9451829081764138,BUY WATCHLIST
AUDUSD,-2,0.7689999938011169,0.776390016078949,BUY WATCHLIST,0.7713669,0.007390022277832031,0.32028404108916825,0.6797159589108317,BUY WATCHLIST
CADCHF,4,0.7401700019836426,0.7462999820709229,BUY WATCHLIST,0.74179,0.0061299800872802734,0.26427459686514676,0.7357254031348532,BUY WATCHLIST
CADJPY,4,88.85399627685547,88.899,SELL WATCHLIST,88.899,0.04500372314453216,1.0,0.0,SELL WATCHLIST
EURAUD,2,1.5576900243759155,1.5674099922180176,BUY WATCHLIST,1.55861,0.00971996784210205,0.09464801108699643,0.9053519889130036,BUY WATCHLIST
EURGBP,6,0.8646000027656555,0.8719000220298767,SELL WATCHLIST,0.87018,0.007300019264221191,0.7643811656351488,0.23561883436485115,SELL WATCHLIST
EURJPY,0,130.96600341796875,132.35899353027344,BUY WATCHLIST,131.453,1.3929901123046875,0.34960519656921485,0.6503948034307852,BUY WATCHLIST
EURUSD,-2,1.199779987335205,1.2149399518966677,BUY WATCHLIST,1.2022121,0.015159964561462624,0.16042997032970424,0.8395700296702958,BUY WATCHLIST
CHFJPY,4,119.0780029296875,120.11000061035156,SELL WATCHLIST,119.754,1.0319976806640625,0.6550373929886345,0.34496260701136544,SELL WATCHLIST
GBPAUD,-4,1.7828600406646729,1.793779969215393,SELL WATCHLIST,1.7916,0.010919928550720215,0.8003678132812319,0.19963218671876815,SELL WATCHLIST
GBPJPY,0,150.03599548339844,151.1739959716797,SELL WATCHLIST,151.057,1.13800048828125,0.8971916331456049,0.10280836685439514,SELL WATCHLIST
GBPUSD,-4,1.3782700300216677,1.3884700536727903,BUY WATCHLIST,1.3820554,0.010200023651122603,0.371113843242484,0.628886156757516,BUY WATCHLIST
NZDCAD,-6,0.8738899827003479,0.8811200261116028,SELL WATCHLIST,0.87948,0.007230043411254883,0.7731651086562297,0.2268348913437703,SELL WATCHLIST
NZDJPY,-2,77.62799835205078,78.37000274658203,SELL WATCHLIST,78.312,0.74200439453125,0.9218296454717415,0.07817035452825855,SELL WATCHLIST
NZDUSD,-2,0.7121300101280212,0.7285900115966797,BUY WATCHLIST,0.71648633,0.016460001468658447,0.2646609649624634,0.7353390350375366,BUY WATCHLIST
USDJPY,4,109.23999786376952,109.95500183105467,BUY WATCHLIST,109.33,0.7150039672851562,0.12587641516482218,0.8741235848351778,BUY WATCHLIST
