Currency,Levels
AUDCAD,"[0.9455000162124634, 0.9539399743080139, 0.960099995136261, 0.9684699773788452, 0.9758300185203552]"
AUDCHF,"[0.7015100121498108, 0.7067800164222717, 0.7115700244903564, 0.715399980545044, 0.7197399735450745]"
AUDJPY,"[82.27999877929688, 82.55000305175781, 83.54900360107422, 84.14199829101562, 85.0009994506836]"
AUDNZD,"[1.0702099800109863, 1.0764600038528442, 1.082900047302246, 1.0883899927139282, 1.0946799516677856]"
AUDUSD,"[0.7531499862670898, 0.761430025100708, 0.7676399946212769, 0.7724599838256836, 0.7817400097846985]"
CADCHF,"[0.7252299785614014, 0.734279990196228, 0.7401700019836426, 0.7462999820709229, 0.7527700066566467]"
CADJPY,"[86, 86.36900329589844, 86.93299865722656, 87.63999938964844, 88.85399627685547]"
EURAUD,"[1.5356899499893188, 1.541849970817566, 1.5481499433517456, 1.5576900243759155, 1.5674099922180176]"
EURCAD,"[1.4722800254821777, 1.48294997215271, 1.492609977722168, 1.5056300163269043, 1.5191700458526611]"
EURCHF,"[1.0974500179290771, 1.1014599800109863, 1.1047199964523315, 1.1079599857330322, 1.1117700338363647]"
EURGBP,"[0.8471400141716003, 0.8570899963378906, 0.8646000027656555, 0.8719000220298767]"
EURJPY,"[128.28599548339844, 128.36300659179688, 129.3249969482422, 130.13600158691406, 130.96600341796875, 132.35899353027344]"
EURUSD,"[1.1703499555587769, 1.1821099519729614, 1.19268000125885, 1.2021900415420532, 1.2149399518966675]"
CHFJPY,"[115.90399932861328, 116.9280014038086, 117.89399719238281, 119.0780029296875, 120.11000061035156]"
GBPAUD,"[1.7739399671554565, 1.7828600406646729, 1.7940000295639038, 1.802839994430542, 1.8119399547576904, 1.8263700008392334]"
GBPCHF,"[1.2624200582504272, 1.269320011138916, 1.2816799879074097, 1.2919299602508545, 1.3073099851608276]"
GBPJPY,"[148.52000427246094, 150.03599548339844, 151.1739959716797, 152.40199279785156, 153.40499877929688]"
GBPUSD,"[1.366819977760315, 1.374400019645691, 1.382290005683899, 1.3894699811935425, 1.4008400440216064]"
NZDCAD,"[0.8738899827003479, 0.8811200261116028, 0.8887400031089783, 0.8967499732971191, 0.9081400036811829]"
NZDJPY,"[75.61799621582031, 76.3239974975586, 77.16400146484375, 77.71199798583984, 78.37000274658203, 79.15899658203125]"
NZDUSD,"[0.6940500140190125, 0.7069000005722046, 0.7200599908828735, 0.7285900115966797]"
USDCAD,"[1.2265199422836304, 1.2321799993515015, 1.2417999505996704, 1.251170039176941, 1.2575500011444092, 1.2652900218963623]"
USDCHF,"[0.9079599976539612, 0.9190700054168701, 0.9302099943161011, 0.9472000002861023]"
USDJPY,"[107.47100067138672, 108.2770004272461, 109.23999786376953, 109.95500183105469, 110.95999908447266]"
