date,open,high,low,close,volume,ema,atr,rsi,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
1619395200,1.20909,1.20979,1.20909,1.20947,239,,,,,,
1619398800,1.20948,1.20968,1.20906,1.20921,494,,,,,,
1619402400,1.2092,1.20946,1.20891,1.20891,343,,,,,,
1619406000,1.20892,1.21051,1.20888,1.21032,859,,,,,,
1619409600,1.21031,1.21117,1.21031,1.21101,888,,,,,,
1619413200,1.211,1.21134,1.21069,1.21133,666,,,,,,
1619416800,1.21132,1.21167,1.21092,1.211,858,,,,,,
1619420400,1.21101,1.2113,1.21071,1.2108,475,,,,,,
1619424000,1.21081,1.21118,1.21065,1.21065,571,,,,,,
1619427600,1.21066,1.21151,1.20919,1.20926,1448,,,,,,
1619431200,1.20925,1.2103,1.20888,1.20971,1546,,,,,,
1619434800,1.20971,1.21027,1.209,1.20996,1520,,,,,,
1619438400,1.20995,1.21091,1.2095,1.20961,1146,,,,,,
1619442000,1.20962,1.20988,1.2092,1.20921,946,,0.000998571428571436,,,,
1619445600,1.2092,1.2093,1.2081,1.20823,1165,,0.0010254285714285899,33.81592957342062,,,
1619449200,1.20824,1.20859,1.20766,1.20805,1382,,0.001012704761904791,32.52520216532632,,,
1619452800,1.20805,1.20825,1.20615,1.20665,1996,,0.0011576774603174844,24.645757818583753,,,
1619456400,1.20664,1.20871,1.20654,1.20808,1655,,0.0012926537989418206,40.50114584600285,,,
1619460000,1.20809,1.20829,1.20729,1.20823,1008,,0.0012536332924162597,41.88253404998229,,,
1619463600,1.20824,1.20894,1.20803,1.20893,599,,0.0012078155200940873,47.95515689529099,,,
1619467200,1.20891,1.20892,1.20832,1.20862,347,,0.0011281067840815421,45.678838396376925,,,
1619470800,1.20863,1.20935,1.20863,1.20917,382,,0.001075025879537323,50.195828228007066,,,
1619474400,1.20916,1.20927,1.20852,1.20896,502,,0.0010316890955990171,48.536287527998894,,,
1619478000,1.20895,1.20919,1.20862,1.20919,392,,0.0009701305495191428,50.46781544918485,,,
1619481600,1.20906,1.20906,1.20834,1.20858,186,,0.0009541131429165928,45.581564292091095,,,
1619485200,1.20858,1.20872,1.2082,1.20821,323,,0.0008962313905277238,42.87028519922676,-0.0005337410465240389,,
1619488800,1.20822,1.20831,1.20793,1.20796,260,,0.000827400538457367,41.09174944994013,-0.0005571409556497375,,
1619492400,1.20795,1.20839,1.2075,1.20791,715,,0.0008357471333297257,40.727824261543034,-0.0005731136370941137,,
1619496000,1.20792,1.20808,1.2069,1.20722,848,,0.0008816475155524234,35.9907311303077,-0.0006341393717061994,,
1619499600,1.20723,1.20744,1.20652,1.20657,537,,0.0008867611801454379,32.19216378197671,-0.0007265767492885544,,
1619503200,1.20658,1.20717,1.20658,1.2069,364,,0.000848526356126067,35.891550247321845,-0.0007643943328725644,,
1619506800,1.20691,1.20745,1.20687,1.20728,292,,0.0008127228419758985,39.954002075918865,-0.0007549990569584164,,
1619510400,1.20728,1.20762,1.20704,1.20752,362,,0.0007816931297124488,42.4350952180066,-0.0007198888087984745,,
1619514000,1.20753,1.20799,1.20663,1.20696,1032,,0.0008588007124174297,38.443525840599705,-0.0007288492832167037,-6.297781187128123e-05,-0.0006658714713454225
1619517600,1.20695,1.20756,1.20651,1.20701,1360,,0.0008842939507617718,38.995283757330526,-0.0007235750192056134,-4.6162838288152635e-05,-0.0006774121809174608
1619521200,1.20701,1.20714,1.20573,1.20582,1290,,0.00095438809066022,31.710187596748362,-0.0008061256668414618,-0.00010297078873920077,-0.000703154878102261
1619524800,1.20582,1.20689,1.20569,1.20644,1010,,0.0009871363452388694,38.18931030020142,-0.0008121567934296081,-8.720153226187755e-05,-0.0007249552611677306
1619528400,1.20645,1.2085,1.20645,1.20836,1150,,0.001130184832540347,53.04613124882854,-0.0006544642938226541,5.639277387606116e-05,-0.0007108570676987153
